tipo	grupo	nombre	version	licencia	purl
library	-	@babel/code-frame	7.29.7	MIT	pkg:npm/%40babel/code-frame@7.29.7
library	-	@babel/compat-data	7.29.7	MIT	pkg:npm/%40babel/compat-data@7.29.7
library	-	@babel/core	7.29.7	MIT	pkg:npm/%40babel/core@7.29.7
library	-	debug	4.4.3	MIT	pkg:npm/debug@4.4.3
library	-	ms	2.1.3	MIT	pkg:npm/ms@2.1.3
library	-	@babel/generator	7.29.7	MIT	pkg:npm/%40babel/generator@7.29.7
library	-	@babel/helper-compilation-targets	7.29.7	MIT	pkg:npm/%40babel/helper-compilation-targets@7.29.7
library	-	@babel/helper-globals	7.29.7	MIT	pkg:npm/%40babel/helper-globals@7.29.7
library	-	@babel/helper-module-imports	7.29.7	MIT	pkg:npm/%40babel/helper-module-imports@7.29.7
library	-	@babel/helper-module-transforms	7.29.7	MIT	pkg:npm/%40babel/helper-module-transforms@7.29.7
library	-	@babel/helper-plugin-utils	7.29.7	MIT	pkg:npm/%40babel/helper-plugin-utils@7.29.7
library	-	@babel/helper-string-parser	7.29.7	MIT	pkg:npm/%40babel/helper-string-parser@7.29.7
library	-	@babel/helper-validator-identifier	7.29.7	MIT	pkg:npm/%40babel/helper-validator-identifier@7.29.7
library	-	@babel/helper-validator-option	7.29.7	MIT	pkg:npm/%40babel/helper-validator-option@7.29.7
library	-	@babel/helpers	7.29.7	MIT	pkg:npm/%40babel/helpers@7.29.7
library	-	@babel/parser	7.29.7	MIT	pkg:npm/%40babel/parser@7.29.7
library	-	@babel/plugin-syntax-async-generators	7.8.4	MIT	pkg:npm/%40babel/plugin-syntax-async-generators@7.8.4
library	-	@babel/plugin-syntax-bigint	7.8.3	MIT	pkg:npm/%40babel/plugin-syntax-bigint@7.8.3
library	-	@babel/plugin-syntax-class-properties	7.12.13	MIT	pkg:npm/%40babel/plugin-syntax-class-properties@7.12.13
library	-	@babel/plugin-syntax-class-static-block	7.14.5	MIT	pkg:npm/%40babel/plugin-syntax-class-static-block@7.14.5
library	-	@babel/plugin-syntax-import-attributes	7.29.7	MIT	pkg:npm/%40babel/plugin-syntax-import-attributes@7.29.7
library	-	@babel/plugin-syntax-import-meta	7.10.4	MIT	pkg:npm/%40babel/plugin-syntax-import-meta@7.10.4
library	-	@babel/plugin-syntax-json-strings	7.8.3	MIT	pkg:npm/%40babel/plugin-syntax-json-strings@7.8.3
library	-	@babel/plugin-syntax-jsx	7.29.7	MIT	pkg:npm/%40babel/plugin-syntax-jsx@7.29.7
library	-	@babel/plugin-syntax-logical-assignment-operators	7.10.4	MIT	pkg:npm/%40babel/plugin-syntax-logical-assignment-operators@7.10.4
library	-	@babel/plugin-syntax-nullish-coalescing-operator	7.8.3	MIT	pkg:npm/%40babel/plugin-syntax-nullish-coalescing-operator@7.8.3
library	-	@babel/plugin-syntax-numeric-separator	7.10.4	MIT	pkg:npm/%40babel/plugin-syntax-numeric-separator@7.10.4
library	-	@babel/plugin-syntax-object-rest-spread	7.8.3	MIT	pkg:npm/%40babel/plugin-syntax-object-rest-spread@7.8.3
library	-	@babel/plugin-syntax-optional-catch-binding	7.8.3	MIT	pkg:npm/%40babel/plugin-syntax-optional-catch-binding@7.8.3
library	-	@babel/plugin-syntax-optional-chaining	7.8.3	MIT	pkg:npm/%40babel/plugin-syntax-optional-chaining@7.8.3
library	-	@babel/plugin-syntax-private-property-in-object	7.14.5	MIT	pkg:npm/%40babel/plugin-syntax-private-property-in-object@7.14.5
library	-	@babel/plugin-syntax-top-level-await	7.14.5	MIT	pkg:npm/%40babel/plugin-syntax-top-level-await@7.14.5
library	-	@babel/plugin-syntax-typescript	7.29.7	MIT	pkg:npm/%40babel/plugin-syntax-typescript@7.29.7
library	-	@babel/template	7.29.7	MIT	pkg:npm/%40babel/template@7.29.7
library	-	@babel/traverse	7.29.7	MIT	pkg:npm/%40babel/traverse@7.29.7
library	-	debug	4.4.3	MIT	pkg:npm/debug@4.4.3
library	-	ms	2.1.3	MIT	pkg:npm/ms@2.1.3
library	-	@babel/types	7.29.7	MIT	pkg:npm/%40babel/types@7.29.7
library	-	@bcoe/v8-coverage	0.2.3	MIT	pkg:npm/%40bcoe/v8-coverage@0.2.3
library	-	@istanbuljs/load-nyc-config	1.1.0	ISC	pkg:npm/%40istanbuljs/load-nyc-config@1.1.0
library	-	@istanbuljs/schema	0.1.6	MIT	pkg:npm/%40istanbuljs/schema@0.1.6
library	-	@jest/console	29.7.0	MIT	pkg:npm/%40jest/console@29.7.0
library	-	@jest/core	29.7.0	MIT	pkg:npm/%40jest/core@29.7.0
library	-	@jest/environment	29.7.0	MIT	pkg:npm/%40jest/environment@29.7.0
library	-	@jest/expect	29.7.0	MIT	pkg:npm/%40jest/expect@29.7.0
library	-	@jest/expect-utils	29.7.0	MIT	pkg:npm/%40jest/expect-utils@29.7.0
library	-	@jest/fake-timers	29.7.0	MIT	pkg:npm/%40jest/fake-timers@29.7.0
library	-	@jest/globals	29.7.0	MIT	pkg:npm/%40jest/globals@29.7.0
library	-	@jest/reporters	29.7.0	MIT	pkg:npm/%40jest/reporters@29.7.0
library	-	@jest/schemas	29.6.3	MIT	pkg:npm/%40jest/schemas@29.6.3
library	-	@jest/source-map	29.6.3	MIT	pkg:npm/%40jest/source-map@29.6.3
library	-	@jest/test-result	29.7.0	MIT	pkg:npm/%40jest/test-result@29.7.0
library	-	@jest/test-sequencer	29.7.0	MIT	pkg:npm/%40jest/test-sequencer@29.7.0
library	-	@jest/transform	29.7.0	MIT	pkg:npm/%40jest/transform@29.7.0
library	-	@jest/types	29.6.3	MIT	pkg:npm/%40jest/types@29.6.3
library	-	@jridgewell/gen-mapping	0.3.13	MIT	pkg:npm/%40jridgewell/gen-mapping@0.3.13
library	-	@jridgewell/remapping	2.3.5	MIT	pkg:npm/%40jridgewell/remapping@2.3.5
library	-	@jridgewell/resolve-uri	3.1.2	MIT	pkg:npm/%40jridgewell/resolve-uri@3.1.2
library	-	@jridgewell/sourcemap-codec	1.5.5	MIT	pkg:npm/%40jridgewell/sourcemap-codec@1.5.5
library	-	@jridgewell/trace-mapping	0.3.31	MIT	pkg:npm/%40jridgewell/trace-mapping@0.3.31
library	-	@noble/hashes	1.8.0	MIT	pkg:npm/%40noble/hashes@1.8.0
library	-	@paralleldrive/cuid2	2.3.1	MIT	pkg:npm/%40paralleldrive/cuid2@2.3.1
library	-	@sinclair/typebox	0.27.12	MIT	pkg:npm/%40sinclair/typebox@0.27.12
library	-	@sinonjs/commons	3.0.1	BSD-3-Clause	pkg:npm/%40sinonjs/commons@3.0.1
library	-	@sinonjs/fake-timers	10.3.0	BSD-3-Clause	pkg:npm/%40sinonjs/fake-timers@10.3.0
library	-	@types/babel__core	7.20.5	MIT	pkg:npm/%40types/babel__core@7.20.5
library	-	@types/babel__generator	7.27.0	MIT	pkg:npm/%40types/babel__generator@7.27.0
library	-	@types/babel__template	7.4.4	MIT	pkg:npm/%40types/babel__template@7.4.4
library	-	@types/babel__traverse	7.28.0	MIT	pkg:npm/%40types/babel__traverse@7.28.0
library	-	@types/graceful-fs	4.1.9	MIT	pkg:npm/%40types/graceful-fs@4.1.9
library	-	@types/istanbul-lib-coverage	2.0.6	MIT	pkg:npm/%40types/istanbul-lib-coverage@2.0.6
